Road user type,Age group,allCasualties,Month
Car drivers,16 to 59,"108,555",2004
Car drivers,60 and over,"12,058",2004
Car drivers,16 to 59,"106,265",2005
Car drivers,60 and over,"11,858",2005
Car drivers,16 to 59,"102,071",2006
Car drivers,60 and over,"11,638",2006
Car drivers,16 to 59,"96,595",2007
Car drivers,60 and over,"11,251",2007
Car drivers,16 to 59,"88,682",2008
Car drivers,60 and over,"10,825",2008
Car drivers,16 to 59,"84,634",2009
Car drivers,60 and over,"10,767",2009
Car drivers,16 to 59,"78,241",2010
Car drivers,60 and over,"10,531",2010
Car drivers,16 to 59,"72,941",2011
Car drivers,60 and over,"10,682",2011
Car drivers,16 to 59,"69,716",2012
Car drivers,60 and over,"10,489",2012
Car drivers,16 to 59,"64,082",2013
Car drivers,60 and over,"10,340",2013
Car drivers,16 to 59,"66,961",2014
Car drivers,60 and over,"11,090",2014
Car drivers,16 to 59,"65,249",2015
Car drivers,60 and over,"10,529",2015
Car drivers,16 to 59,"63,357",2016
Car drivers,60 and over,"10,587",2016
Car drivers,16 to 59,"57,916",2017
Car drivers,60 and over,"9,949",2017
Car drivers,16 to 59,"53,985",2018
Car drivers,60 and over,"10,063",2018
Car drivers,16 to 59,"51,503",2019
Car drivers,60 and over,"9,711",2019
Car drivers,16 to 59,"38,489",2020
Car drivers,60 and over,"6,457",2020
Car drivers,16 to 59,"41,818",2021
Car drivers,60 and over,"7,537",2021
