Road user type,Age group,Injured,Month
Car drivers,16 to 59,11924,2005
Car drivers,16 to 59,11550,2006
Car drivers,16 to 59,10621,2007
Car drivers,16 to 59,9727,2008
Car drivers,16 to 59,9045,2009
Car drivers,16 to 59,7917,2010
Car drivers,16 to 59,7476,2011
Car drivers,16 to 59,7137,2012
Car drivers,16 to 59,6659,2013
Car drivers,16 to 59,6953,2014
Car drivers,16 to 59,6696,2015
Car drivers,16 to 59,6465,2016
Car drivers,16 to 59,6111,2017
Car drivers,16 to 59,6182,2018
Car drivers,16 to 59,6103,2019
Car drivers,16 to 59,4834,2020
