Road user type,Age group,Killed,Ksi,allCasualties,Month
Car drivers,16 to 59,886,11924,106265,2005
Car drivers,16 to 59,855,11550,102071,2006
Car drivers,16 to 59,751,10621,96595,2007
Car drivers,16 to 59,670,9727,88682,2008
Car drivers,16 to 59,553,9045,84634,2009
Car drivers,16 to 59,420,7917,78241,2010
Car drivers,16 to 59,459,7476,72941,2011
Car drivers,16 to 59,380,7137,69716,2012
Car drivers,16 to 59,382,6659,64082,2013
Car drivers,16 to 59,385,6953,66961,2014
Car drivers,16 to 59,377,6696,65249,2015
Car drivers,16 to 59,385,6465,63357,2016
Car drivers,16 to 59,389,6111,57916,2017
Car drivers,16 to 59,366,6182,53985,2018
Car drivers,16 to 59,304,6103,51503,2019
Car drivers,16 to 59,322,4834,38489,2020
